Americanize Americanized Americanizing Americanizes
dado dadoed dadoing dadoes,
dagger daggered daggering daggers
daguerreotype daguerreotyped daguerreotyping daguerreotypes
dally dallied dallying dallies
dam dammed damming dams
damage damaged damaging damages
damascene damascened damascening damascenes
damask damasked damasking damasks
damn damned damning damns
damp damped damping damps
dampen dampened dampening dampens
dance danced dancing dances
dandify dandified dandifying dandifies
dandle dandled dandling dandles
dang danged danging dangs
dangle dangled dangling dangles
dapple dappled dappling dapples
dare dared, 2 daring
dark darked darking darks
darken darkened darkening darkens
darn darned darning darns
dart darted darting darts
dash dashed dashing dashes
date dated dating dates
dateline datelined datelining datelines
daub daubed daubing daubs
daunt daunted daunting daunts
dawdle dawdled dawdling dawdles
dawn dawned dawning dawns
daze dazed dazing dazes
dazzle dazzled dazzling dazzles
deaccession deaccessioned deaccessioning deaccessions
deacon deaconed deaconing deacons
deactivate deactivated deactivating deactivates
deaden deadened deadening deadens
deadlock deadlocked deadlocking deadlocks
deadpan deadpanned deadpanning deadpans
deafen deafened deafening deafens
deal dealt dealing deals
debar debarred debarring debars
debark debarked debarking debarks
debase debased debasing debases
debate debated debating debates
debauch debauched debauching debauches
debilitate debilitated debilitating debilitates
debit debited debiting debits
debone deboned deboning debones
debouch debouched debouching debouches
debrief debriefed debriefing debriefs
debug debugged debugging debugs
debunk debunked debunking debunks
debut debuted debuting debuts
decaffeinate decaffeinated decaffeinating decaffeinates
decalcify decalcified decalcifying decalcifies
decamp decamped decamping decamps
decant decanted decanting decants
decapitate decapitated decapitating decapitates
decarbonize decarbonized decarbonizing decarbonizes
decarburize decarburized decarburizing decarburizes
decay decayed decaying decays
decease deceased deceasing deceases
deceive deceived deceiving deceives
decelerate decelerated decelerating decelerates
decentralise decentralised decentralising decentralises
decentralize decentralized decentralizing decentralizes
decertify decertified decertifying decertifies
decide decided deciding decides
decimalise decimalised decimalising decimalises
decimalize decimalized decimalizing decimalizes
decimate decimated decimating decimates
decipher deciphered deciphering deciphers
decision decisioned decisioning decisions
deck decked decking decks
declaim declaimed declaiming declaims
declare declared declaring declares
declassify declassified declassifying declassifies
declaw declawed declawing declaws
decline declined declining declines
declutch declutched declutching declutches
decoct decocted decocting decocts
decode decoded decoding decodes
decoke decoked decoking decokes
decolonize decolonized decolonizing decolonizes
decolor decolored decoloring decolors
decolorize decolorized decolorizing decolorizes
decommission decommissioned decommissioning decommissions
decompose decomposed decomposing decomposes
decompress decompressed decompressing decompresses
deconcentrate deconcentrated deconcentrating deconcentrates
deconsecrate deconsecrated deconsecrating deconsecrates
deconstruct deconstructed deconstructing deconstructs
decontaminate decontaminated decontaminating decontaminates
decontrol decontrolled decontrolling decontrols
decorate decorated decorating decorates
decorticate decorticated decorticating decorticates
decoupage decoupaged decoupaging decoupages
decoy decoyed decoying decoys
decrease decreased decreasing decreases
decree decreed decreeing decrees
decrepitate decrepitated decrepitating decrepitates
decriminalize decriminalized decriminalizing decriminalizes
decry decried decrying decries
dedicate dedicated dedicating dedicates
deduce deduced deducing deduces
deduct deducted deducting deducts
deed deeded deeding deeds
deem deemed deeming deems
deemphasize deemphasized deemphasizing deemphasizes
deepen deepened deepening deepens
deescalate deescalated deescalating deescalates
deface defaced defacing defaces
defalcate defalcated defalcating defalcates
defame defamed defaming defames
defang defanged defanging defangs
default defaulted defaulting defaults
defeat defeated defeating defeats
defecate defecated defecating defecates
defect defected defecting defects
defence defenced defencing defences
defend defended defending defends
defense defensed defensing defenses
defer deferred deferring defers
defile defiled defiling defiles
define defined defining defines
deflate deflated deflating deflates
deflect deflected deflecting deflects
deflower deflowered deflowering deflowers
defog defogged defogging defogs
defoliate defoliated defoliating defoliates
deforest deforested deforesting deforests
deform deformed deforming deforms
defraud defrauded defrauding defrauds
defray defrayed defraying defrays
defrock defrocked defrocking defrocks
defrost defrosted defrosting defrosts
defuse defused defusing defuses
defy defied defying defies
degas degassed degassing degases,
degauss degaussed degaussing degausses
degenerate degenerated degenerating degenerates
degrade degraded degrading degrades
dehisce dehisced dehiscing dehisces
dehorn dehorned dehorning dehorns
dehumanize dehumanized dehumanizing dehumanizes
dehumidify dehumidified dehumidifying dehumidifies
dehydrate dehydrated dehydrating dehydrates
dehydrogenate dehydrogenated dehydrogenating dehydrogenates
deice deiced deicing deices
deify deified deifying deifies
deign deigned deigning deigns
deject dejected dejecting dejects
delay delayed delaying delays
delegate delegated delegating delegates
delete deleted deleting deletes
deliberate deliberated deliberating deliberates
delight delighted delighting delights
delimit delimited delimiting delimits
delimitate delimitated delimitating delimitates
delineate delineated delineating delineates
deliquesce deliquesced deliquescing deliquesces
deliver delivered delivering delivers
delouse deloused delousing delouses
delude deluded deluding deludes
deluge deluged deluging deluges
delve delved delving delves
demagnetize demagnetized demagnetizing demagnetizes
demagog demagoged demagoging demagogs
demagogue demagogued demagoguing demagogues
demand demanded demanding demands
demarcate demarcated demarcating demarcates
dematerialize dematerialized dematerializing dematerializes
demean demeaned demeaning demeans
demilitarise demilitarised demilitarising demilitarises
demilitarize demilitarized demilitarizing demilitarizes
demise demised demising demises
demist demisted demisting demists
demo demoed demoing demos
demob demobbed demobbing demobs
demobilize demobilized demobilizing demobilizes
democratize democratized democratizing democratizes
demodulate demodulated demodulating demodulates
demolish demolished demolishing demolishes
demonetize demonetized demonetizing demonetizes
demonize demonized demonizing demonizes
demonstrate demonstrated demonstrating demonstrates
demoralize demoralized demoralizing demoralizes
demote demoted demoting demotes
demulsify demulsified demulsifying demulsifies
demur demurred demurring demurs
demystify demystified demystifying demystifies
demythologize demythologized demythologizing demythologizes
den denned denning dens
denationalize denationalized denationalizing denationalizes
denaturalize denaturalized denaturalizing denaturalizes
denature denatured denaturing denatures
denazify denazified denazifying denazifies
denigrate denigrated denigrating denigrates
denitrify denitrified denitrifying denitrifies
denizen denizened denizening denizens
denominate denominated denominating denominates
denote denoted denoting denotes
denounce denounced denouncing denounces
dent dented denting dents
denuclearize denuclearized denuclearizing denuclearizes
denudate denudated denudating denudates
denude denuded denuding denudes
deny denied denying denies
deodorize deodorized deodorizing deodorizes
deoxidise deoxidised deoxidising deoxidises
deoxidize deoxidized deoxidizing deoxidizes
depart departed departing departs
departmentalize departmentalized departmentalizing departmentalizes
depend depended depending depends
depersonalize depersonalized depersonalizing depersonalizes
depict depicted depicting depicts
deplane deplaned deplaning deplanes
deplete depleted depleting depletes
deplore deplored deploring deplores
deploy deployed deploying deploys
deplume deplumed depluming deplumes
depolarize depolarized depolarizing depolarizes
depoliticize depoliticized depoliticizing depoliticizes
depone deponed deponing depones
depopulate depopulated depopulating depopulates
deport deported deporting deports
depose deposed deposing deposes
deposit deposited depositing deposits
deprave depraved depraving depraves
deprecate deprecated deprecating deprecates
depreciate depreciated depreciating depreciates
depress depressed depressing depresses
depressurize depressurized depressurizing depressurizes
deprive deprived depriving deprives
depute deputed deputing deputes
deputise deputised deputising deputises
deputize deputized deputizing deputizes
deracinate deracinated deracinating deracinates
derail derailed derailing derails
derange deranged deranging deranges
derate derated derating derates
derecognize derecognized derecognizing derecognizes
deregulate deregulated deregulating deregulates
derequisition derequisitioned derequisitioning derequisitions
derestrict derestricted derestricting derestricts
deride derided deriding derides
derive derived deriving derives
derogate derogated derogating derogates
derrick derricked derricking derricks
desalinate desalinated desalinating desalinates
desalinize desalinized desalinizing desalinizes
desalt desalted desalting desalts
descale descaled descaling descales
descant descanted descanting descants
descend descended descending descends
describe described describing describes
descry descried descrying descries
desecrate desecrated desecrating desecrates
desegregate desegregated desegregating desegregates
desensitize desensitized desensitizing desensitizes
desert deserted deserting deserts
deserve deserved deserving deserves
desex desexed desexing desexes
desexualize desexualized desexualizing desexualizes
desiccate desiccated desiccating desiccates
design designed designing designs
designate designated designating designates
desire desired desiring desires
desist desisted desisting desists
desolate desolated desolating desolates
despair despaired despairing despairs
despatch despatched despatching despatches
despise despised despising despises
despite despited despiting despites
despoil despoiled despoiling despoils
desquamate desquamated desquamating desquamates
destabilize destabilized destabilizing destabilizes
destine destined destining destines
destitute destituted destituting destitutes
destroy destroyed destroying destroys
destruct destructed destructing destructs
detach detached detaching detaches
detail detailed detailing details
detain detained detaining detains
detect detected detecting detects
deter deterred deterring deters
deteriorate deteriorated deteriorating deteriorates
determinate determinated determinating determinates
determine determined determining determines
detest detested detesting detests
dethrone dethroned dethroning dethrones
detonate detonated detonating detonates
detour detoured detouring detours
detox detoxed detoxing detoxes
detoxicate detoxicated detoxicating detoxicates
detoxify detoxified detoxifying detoxifies
detract detracted detracting detracts
detrain detrained detraining detrains
detribalize detribalized detribalizing detribalizes
devaluate devaluated devaluating devaluates
devalue devalued devaluing devalues
devastate devastated devastating devastates
develop developed developing develops
deviate deviated deviating deviates
devise devised devising devises
devitalise devitalised devitalising devitalises
devitalize devitalized devitalizing devitalizes
devitrify devitrified devitrifying devitrifies
devoice devoiced devoicing devoices
devolve devolved devolving devolves
devote devoted devoting devotes
devour devoured devouring devours
dew dewed dewing dews
diabolize diabolized diabolizing diabolizes
diadem diademed diademing diadems
diagnose diagnosed diagnosing diagnoses
diagonalize diagonalized diagonalizing diagonalizes
dialog dialoged dialoging dialogs
dialogue dialogued dialoguing dialogues
dialyse dialysed dialysing dialyses
dialyze dialyzed dialyzing dialyzes
diamond diamonded diamonding diamonds
diaper diapered diapering diapers
diaphragm diaphragmed diaphragming diaphragms
dibble dibbled dibbling dibbles
dice diced dicing dices
dichotomize dichotomized dichotomizing dichotomizes
dick dicked dicking dicks
dicker dickered dickering dickers
dictate dictated dictating dictates
diddle diddled diddling diddles
die died dying dieing
diesel dieseled dieseling diesels
diet dieted dieting diets
differ differed differing differs
difference differenced differencing differences
differentiate differentiated differentiating differentiates
diffract diffracted diffracting diffracts
diffuse diffused diffusing diffuses
dig dug, 2 digging
digest digested digesting digests
digitalize digitalized digitalizing digitalizes
digitize digitized digitizing digitizes
dignify dignified dignifying dignifies
digress digressed digressing digresses
dike diked diking dikes
dilapidate dilapidated dilapidating dilapidates
dilate dilated dilating dilates
dillydally dillydallied dillydallying dillydallies
dilute diluted diluting dilutes
dim dimmed dimming dims
dimension dimensioned dimensioning dimensions
diminish diminished diminishing diminishes
dimple dimpled dimpling dimples
dine dined dining dines
ding dinged dinging dings
dingdong dingdonged dingdonging dingdongs
dinge dinged dinging dinges
dinner dinnered dinnering dinners
dint dinted dinting dints
dip dipped dipping dips
diphthong diphthonged diphthonging diphthongs
diphthongize diphthongized diphthongizing diphthongizes
diploma diplomaed diplomaing diplomas
direct directed directing directs
dirk dirked dirking dirks
dirty dirtied dirtying dirties
dis dissed dissing disses
disable disabled disabling disables
disabuse disabused disabusing disabuses
disaccord disaccorded disaccording disaccords
disadvantage disadvantaged disadvantaging disadvantages
disaffect disaffected disaffecting disaffects
disaffiliate disaffiliated disaffiliating disaffiliates
disafforest disafforested disafforesting disafforests
disagree disagreed disagreeing disagrees
disallow disallowed disallowing disallows
disambiguate disambiguated disambiguating disambiguates
disappear disappeared disappearing disappears
disappoint disappointed disappointing disappoints
disapprove disapproved disapproving disapproves
disarm disarmed disarming disarms
disarrange disarranged disarranging disarranges
disarray disarrayed disarraying disarrays
disarticulate disarticulated disarticulating disarticulates
disassemble disassembled disassembling disassembles
disassociate disassociated disassociating disassociates
disavow disavowed disavowing disavows
disband disbanded disbanding disbands
disbar disbarred disbarring disbars
disbelieve disbelieved disbelieving disbelieves
disbud disbudded disbudding disbuds
disburden disburdened disburdening disburdens
disburse disbursed disbursing disburses
disc disced discing discs
discard discarded discarding discards
discase discased discasing discases
discern discerned discerning discerns
discharge discharged discharging discharges
disciple discipled discipling disciples
discipline disciplined disciplining disciplines
disclaim disclaimed disclaiming disclaims
disclose disclosed disclosing discloses
disco discoed discoing discos
discolor discolored discoloring discolors
discolour discoloured discolouring discolours
discombobulate discombobulated discombobulating discombobulates
discomfit discomfited discomfiting discomfits
discomfort discomforted discomforting discomforts
discommode discommoded discommoding discommodes
discompose discomposed discomposing discomposes
disconcert disconcerted disconcerting disconcerts
disconnect disconnected disconnecting disconnects
discontent discontented discontenting discontents
discontinue discontinued discontinuing discontinues
discord discorded discording discords
discount discounted discounting discounts
discountenance discountenanced discountenancing discountenances
discourage discouraged discouraging discourages
discourse discoursed discoursing discourses
discover discovered discovering discovers
discredit discredited discrediting discredits
discriminate discriminated discriminating discriminates
discuss discussed discussing discusses
disdain disdained disdaining disdains
disease diseased diseasing diseases
disembark disembarked disembarking disembarks
disembarrass disembarrassed disembarrassing disembarrasses
disembody disembodied disembodying disembodies
disembroil disembroiled disembroiling disembroils
disenable disenabled disenabling disenables
disenchant disenchanted disenchanting disenchants
disencumber disencumbered disencumbering disencumbers
disenfranchise disenfranchised disenfranchising disenfranchises
disengage disengaged disengaging disengages
disentangle disentangled disentangling disentangles
disestablish disestablished disestablishing disestablishes
disesteem disesteemed disesteeming disesteems
disfavor disfavored disfavoring disfavors
disfavour disfavoured disfavouring disfavours
disfigure disfigured disfiguring disfigures
disforest disforested disforesting disforests
disfranchise disfranchised disfranchising disfranchises
disgorge disgorged disgorging disgorges
disgrace disgraced disgracing disgraces
disgruntle disgruntled disgruntling disgruntles
disguise disguised disguising disguises
disgust disgusted disgusting disgusts
dish dished dishing dishes
dishearten disheartened disheartening disheartens
dishonor dishonored dishonoring dishonors
dishonour dishonoured dishonouring dishonours
disillusion disillusioned disillusioning disillusions
disincline disinclined disinclining disinclines
disinfect disinfected disinfecting disinfects
disinfest disinfested disinfesting disinfests
disinherit disinherited disinheriting disinherits
disintegrate disintegrated disintegrating disintegrates
disinter disinterred disinterring disinters
disinterest disinterested disinteresting disinterests
disjoin disjoined disjoining disjoins
disjoint disjointed disjointing disjoints
disk disked disking disks
dislike disliked disliking dislikes
dislocate dislocated dislocating dislocates
dislodge dislodged dislodging dislodges
dismantle dismantled dismantling dismantles
dismay dismayed dismaying dismays
dismember dismembered dismembering dismembers
dismiss dismissed dismissing dismisses
dismount dismounted dismounting dismounts
disobey disobeyed disobeying disobeys
disoblige disobliged disobliging disobliges
disorder disordered disordering disorders
disorganize disorganized disorganizing disorganizes
disorient disoriented disorienting disorients
disorientate disorientated disorientating disorientates
disown disowned disowning disowns
disparage disparaged disparaging disparages
dispatch dispatched dispatching dispatches
dispel dispelled dispelling dispels
dispense dispensed dispensing dispenses
disperse dispersed dispersing disperses
dispirit dispirited dispiriting dispirits
displace displaced displacing displaces
display displayed displaying displays
displease displeased displeasing displeases
displeasure displeasured displeasuring displeasures
displume displumed displuming displumes
disport disported disporting disports
dispose disposed disposing disposes
dispossess dispossessed dispossessing dispossesses
dispraise dispraised dispraising dispraises
disproportion disproportioned disproportioning disproportions
dispute disputed disputing disputes
disqualify disqualified disqualifying disqualifies
disquiet disquieted disquieting disquiets
disregard disregarded disregarding disregards
disrespect disrespected disrespecting disrespects
disrobe disrobed disrobing disrobes
disrupt disrupted disrupting disrupts
diss dissed dissing disses
dissatisfy dissatisfied dissatisfying dissatisfies
dissect dissected dissecting dissects
dissemble dissembled dissembling dissembles
disseminate disseminated disseminating disseminates
dissent dissented dissenting dissents
dissever dissevered dissevering dissevers
dissimilate dissimilated dissimilating dissimilates
dissimulate dissimulated dissimulating dissimulates
dissipate dissipated dissipating dissipates
dissociate dissociated dissociating dissociates
dissolve dissolved dissolving dissolves
dissuade dissuaded dissuading dissuades
distance distanced distancing distances
distaste distasted distasting distastes
distemper distempered distempering distempers
distend distended distending distends
distil distilled distilling distils
distill distilled distilling distills
distinguish distinguished distinguishing distinguishes
distort distorted distorting distorts
distract distracted distracting distracts
distrain distrained distraining distrains
distress distressed distressing distresses
distribute distributed distributing distributes
district districted districting districts
distrust distrusted distrusting distrusts
disturb disturbed disturbing disturbs
disunite disunited disuniting disunites
disuse disused disusing disuses
ditch ditched ditching ditches
dither dithered dithering dithers
ditto dittoed dittoing dittos,
ditty dittied dittying ditties
divagate divagated divagating divagates
divaricate divaricated divaricating divaricates
diverge diverged diverging diverges
diversify diversified diversifying diversifies
divert diverted diverting diverts
divest divested divesting divests
divide divided dividing divides
divine divined divining divines
divorce divorced divorcing divorces
divulge divulged divulging divulges
divvy divvied divvying divvies
dizen dizened dizening dizens
dizzy dizzied dizzying dizzies
do did, 2 done
dock docked docking docks
docket docketed docketing dockets
doctor doctored doctoring doctors
document documented documenting documents
dodder doddered doddering dodders
dodge dodged dodging dodges
doff doffed doffing doffs
dog dogged dogging dogs
dogear dogeared dogearing dogears
doggone doggoned doggoning doggones
dogleg doglegged doglegging doglegs
dogmatize dogmatized dogmatizing dogmatizes
dogtrot dogtrotted dogtrotting dogtrots
dole doled doling doles
doll dolled dolling dolls
dollop dolloped dolloping dollops
dolly dollied dollying dollies
dome domed doming domes
domesticate domesticated domesticating domesticates
domesticize domesticized domesticizing domesticizes
domicile domiciled domiciling domiciles
dominate dominated dominating dominates
domineer domineered domineering domineers
donate donated donating donates
dong donged donging dongs
doodle doodled doodling doodles
doom doomed dooming dooms
dope doped doping dopes
dose dosed dosing doses
doss dossed dossing dosses
dote doted doting dotes
double doubled doubling doubles
doubt doubted doubting doubts
douche douched douching douches
douse doused dousing douses
dovetail dovetailed dovetailing dovetails
dower dowered dowering dowers
down downed downing downs
downgrade downgraded downgrading downgrades
download downloaded downloading downloads
downplay downplayed downplaying downplays
downsize downsized downsizing downsizes
dowse dowsed dowsing dowses
doze dozed dozing dozes
dozen dozened dozening dozens
drab drabbed drabbing drabs
draft drafted drafting drafts
drag dragged dragging drags
dragoon dragooned dragooning dragoons
drain drained draining drains
dram drammed dramming drams
dramatise dramatised dramatising dramatises
dramatize dramatized dramatizing dramatizes
drape draped draping drapes
drat dratted dratting drats
draught draughted draughting draughts
draw drew drawn drawing
drawl drawled drawling drawls
dray drayed draying drays
dread dreaded dreading dreads
dredge dredged dredging dredges
drench drenched drenching drenches
dress dressed dressing dresses
dribble dribbled dribbling dribbles
drift drifted drifting drifts
drill drilled drilling drills
drip dripped dripping drips
drive drove driven driving
drizzle drizzled drizzling drizzles
droll drolled drolling drolls
drone droned droning drones
drool drooled drooling drools
droop drooped drooping droops
drop dropped dropping drops
dropforge dropforged dropforging dropforges
drove droved droving droves
drown drowned drowning drowns
drowse drowsed drowsing drowses
drub drubbed drubbing drubs
drudge drudged drudging drudges
drug drugged drugging drugs
drum drummed drumming drums
dry dried drying dries
dub dubbed dubbing dubs
duck ducked ducking ducks
duct ducted ducting ducts
dude duded duding dudes
duet duetted duetting duets
duff duffed duffing duffs
dulcify dulcified dulcifying dulcifies
dull dulled dulling dulls
dumbfound dumbfounded dumbfounding dumbfounds
dumfound dumfounded dumfounding dumfounds
dummy dummied dummying dummies
dump dumped dumping dumps
dun dunned dunning duns
dung dunged dunging dungs
dunk dunked dunking dunks
dupe duped duping dupes
duplex duplexed duplexing duplexes
duplicate duplicated duplicating duplicates
dusk dusked dusking dusks
dust dusted dusting dusts
dwarf dwarfed dwarfing dwarfs
dwindle dwindled dwindling dwindles
dye dyed dyeing, 2
dyke dyked dyking dykes
dynamite dynamited dynamiting dynamites
dynamize dynamized dynamizing dynamizes
eagle eagled eagling eagles
ear eared earing ears
earmark earmarked earmarking earmarks
earn earned earning earns
earth earthed earthing earths
earwig earwigged earwigging earwigs
ease eased easing eases
eat ate eaten eating
eavesdrop eavesdropped eavesdropping eavesdrops
ebb ebbed ebbing ebbs
ebonize ebonized ebonizing ebonizes
echelon echeloned echeloning echelons
echo echoed echoing echoes,
eclipse eclipsed eclipsing eclipses
economise economised economising economises
economize economized economizing economizes
eddy eddied eddying eddies
edge edged edging edges
edify edified edifying edifies
edit edited editing edits
editorialize editorialized editorializing editorializes
educate educated educating educates
educe educed educing educes
edulcorate edulcorated edulcorating edulcorates
eff effed effing effs
efface effaced effacing effaces
effect effected effecting effects
effectuate effectuated effectuating effectuates
effeminate effeminated effeminating effeminates
effeminize effeminized effeminizing effeminizes
effervesce effervesced effervescing effervesces
effloresce effloresced efflorescing effloresces
effuse effused effusing effuses
egest egested egesting egests
egg egged egging eggs
egress egressed egressing egresses
ejaculate ejaculated ejaculating ejaculates
eject ejected ejecting ejects
eke eked eking ekes
elaborate elaborated elaborating elaborates
elapse elapsed elapsing elapses
elasticize elasticized elasticizing elasticizes
elate elated elating elates
elbow elbowed elbowing elbows
elect elected electing elects
electioneer electioneered electioneering electioneers
electrify electrified electrifying electrifies
electrocute electrocuted electrocuting electrocutes
electroplate electroplated electroplating electroplates
electroshock electroshocked electroshocking electroshocks
electrotype electrotyped electrotyping electrotypes
elegize elegized elegizing elegizes
elevate elevated elevating elevates
elicit elicited eliciting elicits
elide elided eliding elides
eliminate eliminated eliminating eliminates
elongate elongated elongating elongates
elope eloped eloping elopes
elucidate elucidated elucidating elucidates
elude eluded eluding eludes
elute eluted eluting elutes
emaciate emaciated emaciating emaciates
email emailed emailing emails
emanate emanated emanating emanates
emancipate emancipated emancipating emancipates
emasculate emasculated emasculating emasculates
embalm embalmed embalming embalms
embank embanked embanking embanks
embargo embargoed embargoing embargoes,
embark embarked embarking embarks
embarrass embarrassed embarrassing embarrasses
embed embedded embedding embeds
embellish embellished embellishing embellishes
embezzle embezzled embezzling embezzles
embitter embittered embittering embitters
emblazon emblazoned emblazoning emblazons
emblem emblemed embleming emblems
embody embodied embodying embodies
embolden emboldened emboldening emboldens
emboss embossed embossing embosses
embower embowered embowering embowers
embrace embraced embracing embraces
embrangle embrangled embrangling embrangles
embroider embroidered embroidering embroiders
embroil embroiled embroiling embroils
embrown embrowned embrowning embrowns
emcee emceed emceeing emcees
emend emended emending emends
emerge emerged emerging emerges
emigrate emigrated emigrating emigrates
emit emitted emitting emits
emote emoted emoting emotes
emotionalize emotionalized emotionalizing emotionalizes
empale empaled empaling empales
empathize empathized empathizing empathizes
emphasise emphasised emphasising emphasises
emphasize emphasized emphasizing emphasizes
emplane emplaned emplaning emplanes
employ employed employing employs,
empower empowered empowering empowers
empty emptied emptying empties
empurple empurpled empurpling empurples
emulate emulated emulating emulates
emulsify emulsified emulsifying emulsifies
enable enabled enabling enables
enact enacted enacting enacts
enamor enamored enamoring enamors
enamour enamoured enamouring enamours
encamp encamped encamping encamps
encapsulate encapsulated encapsulating encapsulates
encase encased encasing encases
enchain enchained enchaining enchains
enchant enchanted enchanting enchants
encipher enciphered enciphering enciphers
encircle encircled encircling encircles
enclave enclaved enclaving enclaves
enclose enclosed enclosing encloses
encode encoded encoding encodes
encompass encompassed encompassing encompasses
encore encored encoring encores
encounter encountered encountering encounters
encourage encouraged encouraging encourages
encrimson encrimsoned encrimsoning encrimsons
encroach encroached encroaching encroaches
encrust encrusted encrusting encrusts
encrypt encrypted encrypting encrypts
encumber encumbered encumbering encumbers
encyst encysted encysting encysts
end ended ending ends
endanger endangered endangering endangers
endear endeared endearing endears
endeavor endeavored endeavoring endeavors
endeavour endeavoured endeavouring endeavours
endorse endorsed endorsing endorses
endow endowed endowing endows
endue endued enduing endues
endure endured enduring endures
energise energised energising energises
energize energized energizing energizes
enervate enervated enervating enervates
enfeeble enfeebled enfeebling enfeebles
enfilade enfiladed enfilading enfilades
enfold enfolded enfolding enfolds
enforce enforced enforcing enforces
enfranchise enfranchised enfranchising enfranchises
engage engaged engaging engages
engender engendered engendering engenders
engild engilded engilding engilds
engineer engineered engineering engineers
englut englutted englutting engluts
engorge engorged engorging engorges
engraft engrafted engrafting engrafts
engrave engraved engraved, 2
engross engrossed engrossing engrosses
engulf engulfed engulfing engulfs
enhance enhanced enhancing enhances
enjoin enjoined enjoining enjoins
enjoy enjoyed enjoying enjoys
enkindle enkindled enkindling enkindles
enlace enlaced enlacing enlaces
enlarge enlarged enlarging enlarges
enlighten enlightened enlightening enlightens
enlist enlisted enlisting enlists
enliven enlivened enlivening enlivens
enmesh enmeshed enmeshing enmeshes
ennoble ennobled ennobling ennobles
enounce enounced enouncing enounces
enplane enplaned enplaning enplanes
enquire enquired enquiring enquires
enrage enraged enraging enrages
enrapture enraptured enrapturing enraptures
enrich enriched enriching enriches
enrobe enrobed enrobing enrobes
enrol enrolled enrolling enrols
enroll enrolled enrolling enrolls
ensconce ensconced ensconcing ensconces
enshrine enshrined enshrining enshrines
enshroud enshrouded enshrouding enshrouds
ensilage ensilaged ensilaging ensilages
ensile ensiled ensiling ensiles
enslave enslaved enslaving enslaves
ensnare ensnared ensnaring ensnares
ensnarl ensnarled ensnarling ensnarls
ensue ensued ensuing ensues
ensure ensured ensuring ensures
entail entailed entailing entails
entangle entangled entangling entangles
enter entered entering enters
entertain entertained entertaining entertains
enthral enthralled enthralling enthrals
enthrall enthralled enthralling enthralls
enthrone enthroned enthroning enthrones
enthuse enthused enthusing enthuses
entice enticed enticing entices
entitle entitled entitling entitles
entomb entombed entombing entombs
entrain entrained entraining entrains
entrance entranced entrancing entrances
entrap entrapped entrapping entraps
entreat entreated entreating entreats
entrench entrenched entrenching entrenches
entrust entrusted entrusting entrusts
entwine entwined entwining entwines
enumerate enumerated enumerating enumerates
enunciate enunciated enunciating enunciates
enure enured enuring enures
envelop enveloped enveloping envelops
envenom envenomed envenoming envenoms
environ environed environing environs
envisage envisaged envisaging envisages
envision envisioned envisioning envisions
envy envied envying envies
enwrap enwrapped enwrapping enwraps
epilate epilated epilating epilates
epitaph epitaphed epitaphing epitaphs
epitomize epitomized epitomizing epitomizes
equalize equalized equalizing equalizes
equate equated equating equates
equilibrate equilibrated equilibrating equilibrates
equip equipped equipping equips
equipoise equipoised equipoising equipoises
equivocate equivocated equivocating equivocates
eradicate eradicated eradicating eradicates
erase erased erasing erases
erect erected erecting erects
erode eroded eroding erodes
err erred erring errs
eruct eructed eructing eructs
erupt erupted erupting erupts
escalate escalated escalating escalates
escallop escalloped escalloping escallops
escalop escaloped escaloping escalops
escape escaped escaping escapes
eschew eschewed eschewing eschews
escort escorted escorting escorts
escrow escrowed escrowing escrows
espalier espaliered espaliering espaliers
espouse espoused espousing espouses
espy espied espying espies
esquire esquired esquiring esquires
essay essayed essaying essays
establish established establishing establishes
estate estated estating estates
esteem esteemed esteeming esteems
esterify esterified esterifying esterifies
estimate estimated estimating estimates
estivate estivated estivating estivates
estrange estranged estranging estranges
etch etched etching etches
eternalize eternalized eternalizing eternalizes
eternize eternized eternizing eternizes
etherealize etherealized etherealizing etherealizes
etherify etherified etherifying etherifies
etherize etherized etherizing etherizes
etiolate etiolated etiolating etiolates
etymologize etymologized etymologizing etymologizes
euchre euchred euchring euchres
eulogise eulogised eulogising eulogises
eulogize eulogized eulogizing eulogizes
euphemize euphemized euphemizing euphemizes
evacuate evacuated evacuating evacuates
evade evaded evading evades
evaluate evaluated evaluating evaluates
evanesce evanesced evanescing evanesces
evangelize evangelized evangelizing evangelizes
evaporate evaporated evaporating evaporates
even evened evening evens
eventuate eventuated eventuating eventuates
evict evicted evicting evicts
evidence evidenced evidencing evidences
evince evinced evincing evinces
eviscerate eviscerated eviscerating eviscerates
evoke evoked evoking evokes
evolve evolved evolving evolves
exacerbate exacerbated exacerbating exacerbates
exact exacted exacting exacts
exaggerate exaggerated exaggerating exaggerates
exalt exalted exalting exalts
examine examined examining examines
example exampled exampling examples
exasperate exasperated exasperating exasperates
excavate excavated excavating excavates
exceed exceeded exceeding exceeds
excel excelled excelling excels
except excepted excepting excepts
excerpt excerpted excerpting excerpts
excess excessed excessing excesses
exchange exchanged exchanging exchanges
excise excised excising excises
excite excited exciting excites
exclaim exclaimed exclaiming exclaims
exclude excluded excluding excludes
excogitate excogitated excogitating excogitates
excommunicate excommunicated excommunicating excommunicates
excoriate excoriated excoriating excoriates
excrete excreted excreting excretes
excruciate excruciated excruciating excruciates
exculpate exculpated exculpating exculpates
excursion excursioned excursioning excursions
excuse excused excusing excuses
execrate execrated execrating execrates
execute executed executing executes
exemplify exemplified exemplifying exemplifies
exempt exempted exempting exempts
